Name,Owner,Desc,url,forks,stars,watches,created_at
astarte-kubernetes-operator,astarte-platform,Astarte Kubernetes Operator,https://github.com/astarte-platform/astarte-kubernetes-operator,8,18,4,2019-03-18
teiid-operator,teiid,Teiid Operator for OpenShift/Kubernetes,https://github.com/teiid/teiid-operator,13,6,11,2019-03-08
kms-vault-operator,patoarvizu,Kubernetes operator to manage KMS-encrypted Vault secrets,https://github.com/patoarvizu/kms-vault-operator,6,58,3,2019-03-22
whitebox-controller,summerwind,Extensible generic controller for Kubernetes,https://github.com/summerwind/whitebox-controller,6,35,4,2019-03-19
iofog-operator,eclipse-iofog,,https://github.com/eclipse-iofog/iofog-operator,3,6,9,2019-03-16
cloudsql-postgres-operator,travelaudience,Automatically manage GCP CloudSQL for PostgreSQL instances atop Kubernetes.,https://github.com/travelaudience/cloudsql-postgres-operator,2,10,4,2019-03-11
elasticell-operator,deepfabric,k8s operator for elasticell,https://github.com/deepfabric/elasticell-operator,1,5,5,2019-03-28
operator,infinimesh,Kubernetes Operator for Infinimesh Platform,https://github.com/infinimesh/operator,1,1,8,2019-03-16
kubeterra,loodse,K8s operator for Terraform - Manage your Terraform environment with Kubernetes!,https://github.com/loodse/kubeterra,0,3,1,2019-03-18
helloOperator,ValentinoUberti,Testing openshift operators,https://github.com/ValentinoUberti/helloOperator,0,0,2,2019-03-21
kubedge-operator-mme,kubedge,Kubedge MME Operator,https://github.com/kubedge/kubedge-operator-mme,0,1,5,2019-03-30
kubedge-operator-ecds,kubedge,Kubedge Operator for ECDS simulator,https://github.com/kubedge/kubedge-operator-ecds,0,0,5,2019-03-30
kubedge-operator-base,kubedge,Common Functinalities of Kubedge Operators,https://github.com/kubedge/kubedge-operator-base,0,1,5,2019-03-30
operator,istio,Istio operator provides user friendly options to operate the Istio service mesh,https://github.com/istio/operator,84,174,98,2019-04-09
chaos-operator,litmuschaos,chaos engineering via kubernetes operator,https://github.com/litmuschaos/chaos-operator,75,104,8,2019-04-23
kogito-operator,kiegroup,Kubernetes Operator for Kogito,https://github.com/kiegroup/kogito-operator,73,39,31,2019-04-18
operator-utils,redhat-cop,Utilities to support operators,https://github.com/redhat-cop/operator-utils,32,129,19,2019-04-28
postgres-operator,movetokube,PostgreSQL operator for Kubernetes,https://github.com/movetokube/postgres-operator,31,100,5,2019-04-05
tektoncd-pipeline-operator,openshift,"tektoncd-pipeline operator for Kubernetes to manage installation, updation and uninstallation of tekton-cd pipelines.",https://github.com/openshift/tektoncd-pipeline-operator,61,51,23,2019-04-02
wildfly-operator,wildfly,Kubernetes Operator for WildFly,https://github.com/wildfly/wildfly-operator,39,30,15,2019-04-08
wlm-operator,sylabs,Singularity implementation of k8s operator for interacting with SLURM.,https://github.com/sylabs/wlm-operator,23,106,18,2019-04-02
cert-utils-operator,redhat-cop,Set of functionalities around certificates packaged in a Kubernetes operator,https://github.com/redhat-cop/cert-utils-operator,32,79,17,2019-04-20
open-liberty-operator,OpenLiberty,,https://github.com/OpenLiberty/open-liberty-operator,37,26,6,2019-04-10
operator-utils,RHsyseng,Library project for operators written in Go,https://github.com/RHsyseng/operator-utils,26,13,8,2019-04-04
schemahero,schemahero,A Kubernetes operator for declarative database schema management (gitops for database schemas),https://github.com/schemahero/schemahero,67,759,17,2019-04-28
microsegmentation-operator,redhat-cop,,https://github.com/redhat-cop/microsegmentation-operator,6,6,11,2019-04-28
static-config-operator,openshift,Operator to apply static configurations on a cluster,https://github.com/openshift/static-config-operator,8,1,48,2019-04-22
casskop,Orange-OpenSource,"This Kubernetes operator automates the Cassandra operations such as deploying a new rack aware cluster, adding/removing nodes, configuring the C* and JVM parameters, upgrading JVM and C* versions, and many more...",https://github.com/Orange-OpenSource/casskop,55,186,19,2019-04-24
jws-image-operator,web-servers,Openshift Operator for JWS Images,https://github.com/web-servers/jws-image-operator,3,2,4,2019-04-08
postgresql-operator,mcyprian,PostgreSQL operator to run replicated cluster on top of Openshift and Kubernetes.,https://github.com/mcyprian/postgresql-operator,2,4,3,2019-05-01
wavelet-operator,perlin-network,A Kubernetes operator for benchmarking/deploying a Wavelet cluster.,https://github.com/perlin-network/wavelet-operator,0,7,13,2019-04-25
ghost-operator,somi3k,Kubernetes Operator for Ghost [github.com/TryGhost],https://github.com/somi3k/ghost-operator,0,2,0,2019-04-26
tungstenfabric-operator,michaelhenkel,,https://github.com/michaelhenkel/tungstenfabric-operator,0,2,2,2019-04-02
pingdom-operator,fbsb,A kubernetes operator for the pingdom service,https://github.com/fbsb/pingdom-operator,0,1,2,2019-04-20
configmap-reload-operator,hackerthon2019,,https://github.com/hackerthon2019/configmap-reload-operator,0,0,4,2019-04-19
aranya,developgo,Kubernetes operator and agent to manage edge devices,https://github.com/developgo/aranya,0,1,1,2019-04-30
operator,tigera,Kubernetes operator for installing Calico and Calico Enterprise,https://github.com/tigera/operator,103,124,21,2019-05-11
sriov-network-operator,openshift,SR-IOV Network Operator,https://github.com/openshift/sriov-network-operator,89,77,19,2019-05-17
azure-databricks-operator,Azure,Kubernetes Operator for Databricks,https://github.com/Azure/azure-databricks-operator,47,107,16,2019-05-13
sops-secrets-operator,isindir,Kubernetes SOPS secrets operator,https://github.com/isindir/sops-secrets-operator,24,213,3,2019-05-28
namespace-configuration-operator,redhat-cop,"The namespace-configuration-operator helps keeping configurations related to Users, Groups and Namespaces aligned with one of more policies specified as a CRs",https://github.com/redhat-cop/namespace-configuration-operator,50,150,13,2019-05-05
eunomia,KohlsTechnology,A GitOps Operator for Kubernetes,https://github.com/KohlsTechnology/eunomia,36,152,9,2019-05-29
pulp-operator,pulp,Kubernetes Operator for Pulp 3. Under active development.,https://github.com/pulp/pulp-operator,35,32,7,2019-05-09
host-operator,codeready-toolchain,CodeReady Toolchain Host Operator,https://github.com/codeready-toolchain/host-operator,36,3,6,2019-05-23
member-operator,codeready-toolchain,CodeReady Toolchain Member Operator,https://github.com/codeready-toolchain/member-operator,22,0,7,2019-05-28
networkmachinery-operators,networkmachinery,[PoC] Repo that holds in-tree networkmachinery operators (https://www.youtube.com/watch?v=JsJoRkmzoa0),https://github.com/networkmachinery/networkmachinery-operators,4,13,8,2019-05-07
podset-operator,hrishin,step by step guide to write custom kubernetes controller,https://github.com/hrishin/podset-operator,4,11,2,2019-05-24
postgresql-operator,baijum,(Experimental) Deploy PostgreSQL on Kubernetes,https://github.com/baijum/postgresql-operator,10,1,3,2019-05-23
atlasmap-operator,atlasmap,Operator for AtlasMap on OpenShift / Kubernetes,https://github.com/atlasmap/atlasmap-operator,5,4,14,2019-05-14
freeipa-operator,briantopping,Kubernetes Operator for FreeIPA,https://github.com/briantopping/freeipa-operator,2,18,5,2019-05-14
offline-cataloger,kevinrizza,Tooling for creating operator-registry images (https://github.com/operator-framework/operator-registry) and pushing them to local repositories for Kubernetes clusters,https://github.com/kevinrizza/offline-cataloger,8,2,2,2019-05-29
envoy-lb-operator,gojekfarm,Easy to use envoy load balancer control plane for k8s.,https://github.com/gojekfarm/envoy-lb-operator,4,6,21,2019-05-04
kni-operator,mhrivnak,,https://github.com/mhrivnak/kni-operator,4,4,2,2019-05-29
citus-operator,infinivision,citus operator,https://github.com/infinivision/citus-operator,1,9,11,2019-05-16
go,enj,Kitchen sink for Go libraries,https://github.com/enj/go,7,1,2,2019-05-08
hal,halkyonio,"Easily create and manage Kubernetes applications using the Halkyon operator, made with ❤️ by the Halkyon team.",https://github.com/halkyonio/hal,4,6,4,2019-05-02
spanner-operator,katsew,This is an experimental kubernetes operator of Google Cloud Spanner,https://github.com/katsew/spanner-operator,0,6,2,2019-06-01
barometer-operator,aneeshkp,Operator to deploy  containerized barometer collectd,https://github.com/aneeshkp/barometer-operator,1,4,3,2019-05-15
qontract-operator,jmelis,,https://github.com/jmelis/qontract-operator,0,2,2,2019-05-25
casskop,cscetbon,"This Kubernetes operator automates Cassandra operations such as deploying rack aware clusters, scaling up and down, configuring C* and its JVM, upgrading JVM and C*, backup/restores and many more...",https://github.com/cscetbon/casskop,4,7,3,2019-05-29
beevector-operator,deepfabric,BeeVector Operator,https://github.com/deepfabric/beevector-operator,0,0,10,2019-05-23
app-operator,dminca,Kubernetes Operator built with operator-sdk in Go,https://github.com/dminca/app-operator,0,0,2,2019-05-30
operators,alexeldeib,,https://github.com/alexeldeib/operators,0,0,0,2019-05-30
oslc-operator,keleustes,Openstack Lifecyle Manager Operator,https://github.com/keleustes/oslc-operator,0,0,1,2019-05-16
wildfly-operator,giannisalinetti,A basic wildfly operator,https://github.com/giannisalinetti/wildfly-operator,0,1,1,2019-05-24
armada-operator,keleustes,,https://github.com/keleustes/armada-operator,1,1,1,2019-05-16
varnish-operator,cryptobioz,,https://github.com/cryptobioz/varnish-operator,0,0,1,2019-05-21
rocketeer-operator,cvicens,Kubernetes Operator to keep your descriptors up to date,https://github.com/cvicens/rocketeer-operator,0,0,2,2019-05-20
memcached-operator,nevgin,,https://github.com/nevgin/memcached-operator,0,0,1,2019-05-11
demoapp-operator,WTwilight,,https://github.com/WTwilight/demoapp-operator,0,0,0,2019-05-14
memcached-operator,WianVos,,https://github.com/WianVos/memcached-operator,0,0,2,2019-05-31
app-operator,l10xbin,,https://github.com/l10xbin/app-operator,0,0,1,2019-05-15
cattle-operator,chechiachang,,https://github.com/chechiachang/cattle-operator,0,1,1,2019-05-25
uapi-go-operator,Dimss,,https://github.com/Dimss/uapi-go-operator,0,0,1,2019-05-26
service-cache-operator,service-cache,service-cache enables services to cache their response without having to make any changes to themselves.,https://github.com/service-cache/service-cache-operator,0,0,2,2019-05-26
k8s-helm-operator,e2fyi,k8s CRD to install/upgrade/rollback helm charts,https://github.com/e2fyi/k8s-helm-operator,0,0,2,2019-05-28
example-k8s-operator-golang,ssup2,,https://github.com/ssup2/example-k8s-operator-golang,0,0,1,2019-05-29
serf-publisher,ismferd,k8s serf-exposer-controller,https://github.com/ismferd/serf-publisher,1,0,0,2019-05-24
rocketmq-operator,apache,Apache RocketMQ Operator,https://github.com/apache/rocketmq-operator,103,255,55,2019-06-03
solr-operator,apache,Kubernetes Operator for Apache Solr,https://github.com/apache/solr-operator,98,206,52,2019-06-14
service-binding-operator,redhat-developer,"The Service Binding Operator: Connecting Applications with Services, in Kubernetes",https://github.com/redhat-developer/service-binding-operator,92,104,17,2019-06-12
dast-operator,banzaicloud,Dynamic Application and API Security Testing,https://github.com/banzaicloud/dast-operator,25,177,8,2019-06-07
kabanero-operator,kabanero-io,The Kabanero Operator,https://github.com/kabanero-io/kabanero-operator,26,44,19,2019-06-18
ingress-operator,openfaas,"Custom domains, paths and TLS for your OpenFaaS Functions",https://github.com/openfaas/ingress-operator,21,66,4,2019-06-24
rbac-permissions-operator,openshift,Operator to manage RBAC permissions for groups across subsets of namespaces,https://github.com/openshift/rbac-permissions-operator,40,24,42,2019-06-14
node-feature-discovery-operator,kubernetes-sigs,Operator for managing Node Feature Discovery deployment,https://github.com/kubernetes-sigs/node-feature-discovery-operator,27,41,6,2019-06-26
vertical-pod-autoscaler-operator,openshift,An Operator for running the Vertical Pod Autoscaler on OpenShift,https://github.com/openshift/vertical-pod-autoscaler-operator,26,21,9,2019-06-04
lastpass-operator,edgelevel,A Kubernetes Operator to manage secrets stored in LastPass password manager,https://github.com/edgelevel/lastpass-operator,4,44,2,2019-06-27
qserv-operator,lsst,Qserv Operator creates/configures/manages Qserv clusters atop Kubernetes,https://github.com/lsst/qserv-operator,7,5,3,2019-06-18
apexords-operator,HenryXie1,This is operator to to create a brand new apex (oracle application express) 19.1 and ords (oracle rest data service)on a oracle 19c database,https://github.com/HenryXie1/apexords-operator,5,8,1,2019-06-10
aws-ssm-operator,toVersus,A Kubernetes operator for AWS SSM Parameter Store,https://github.com/toVersus/aws-ssm-operator,5,10,0,2019-06-16
openebs-upgrade,mayadata-io,Operator for OpenEBS,https://github.com/mayadata-io/openebs-upgrade,5,2,15,2019-06-17
